id,createdAt,listing,state,rating,content,type,transaction,sentiment
571a69c0-b63d-46ba-8be2-fe1503c79538,2021-11-23 16:05:06.341249+00:00,Capeline paille naturelle dorée et fleurs blanches | f29a1301-5513-473f-aed1-88694da04f58,public,5,"Super 1ère expérience sur My Golden Closet! Clara était très sympathique et très arrangeante!! 
La capeline était parfaite! 
Bref, je recommande!! ",ofProvider,Transaction object (f4dc968c-0d60-4d72-a93e-4431028088aa),POSITIVE
a09edc3d-4e7f-458c-83bd-a070c122042d,2021-11-22 06:47:34.691167+00:00,,public,5,"Goldie au top, je recommande ",ofCustomer,Transaction object (a201181e-7d7b-497d-bc07-f7f5fda1e0bb),POSITIVE
da54e0f3-e532-4db8-b9c8-728944518f4f,2021-11-21 20:33:12.738543+00:00,Robe Grégoire Apoluze T.38 | b38f9509-f2eb-4a4b-9960-c7ba352516d6,public,5,"J'ai pu louer une robe et des boucles d'oreilles dans le dressing de Philippine, qui est arrangeante et réactive, je recommande ! ",ofProvider,Transaction object (a201181e-7d7b-497d-bc07-f7f5fda1e0bb),POSITIVE
f014c31c-785a-44b2-ac97-cc2cc6dc2446,2021-11-21 11:23:13.130220+00:00,Robe longue bleue nuit T36-38 | 4ed19296-e284-46c3-962b-c673a0a46e6d,public,5,super location ! Caroline est très arrangeante et sympathique! J'ai eu beaucoup de compliments sur la robe. Merci à Caroline d'avoir rendu ma soirée magique. ,ofProvider,Transaction object (d233c955-2b07-4717-973f-32d147ae9b06),POSITIVE
414591c1-830e-4f93-be63-a7f0a0bb673f,2021-11-17 15:43:36.274476+00:00,,public,5,"Super expérience avec Quitterie, robe rendu rapidement, très soigneuse et adorable ! A bientôt !",ofCustomer,Transaction object (49f4f516-5500-45da-83dd-493e8d593890),POSITIVE
7504fb01-f9c6-4243-b9d8-f9998955d596,2021-11-17 15:42:46.075003+00:00,,public,5,"Je recommande vivement Audrey, très soigneuse et arrangeante !",ofCustomer,Transaction object (aaab0af9-5316-4bd1-ae94-7f5b9cb5ffa2),POSITIVE
0cdc1d67-f1fb-42c1-b7b9-fd43313d6cc8,2021-11-16 08:28:00.772817+00:00,"Combinaison Claude Sezane, T.38 | c77454bb-454e-445b-b54f-d8f6fc0a65e0",public,5,"Très flexible, disponible, super contact et surtout sublime penderie 😍 ! Je recommande ! ",ofProvider,Transaction object (bb1296dc-e870-44f0-9fa3-c6b67feb3924),POSITIVE
62fe4f9a-4e64-46dd-977d-0cf39d11d1cc,2021-11-16 08:25:42.939851+00:00,Accessoire cheveux étamines de porcelaine | 7ed107c7-8fbc-4b13-807e-0aea75a5536d,public,5,"Super contact, rapide et disponible : je recommande :)! ",ofProvider,Transaction object (6b53f2dc-5617-4a00-a662-1de54172ed3b),POSITIVE
96702053-8e31-466b-a5f1-d369e63496a6,2021-11-16 06:07:04.213600+00:00,Robe blanche Zara broderies cotons TS | 5f4abc8b-b82f-4424-8461-de3fee04726e,public,5,"Amélie est très sympathique et arrangeante et la robe est très jolie, même pour une soirée d'hiver ! ",ofProvider,Transaction object (1cb603d5-7c77-4ffd-8479-80554838533d),POSITIVE
2b51ae3c-4a5d-43ec-884b-da8707bb5925,2021-11-15 22:03:20.400753+00:00,"Robe modèle Sia Rojo de Cardie Moda, T.34 | 490bd06f-f750-4a41-b5d8-bad046907f55",public,5,Beatrice est tres arrangeante et tres sympa. La robe rouge est magnifique et en parfait état. Je recommande vivement ! ,ofProvider,Transaction object (8570398b-b42b-41b9-b108-4bb556d001e3),POSITIVE
e38367a9-aca5-4329-b9ca-cb8e1e12a6e1,2021-11-15 19:34:38.183430+00:00,,public,5,"Je recommande vivement Flavie ! Super échanges, rapide et efficace, elle m'a rendu la combi en super état, merci encore ✨",ofCustomer,Transaction object (695120ec-aed0-43b7-9695-723d45ccf41d),POSITIVE
09705b2a-4283-429e-9767-ba31f006940c,2021-11-15 15:55:56.047199+00:00,,public,5,"Bertille est très arrangeante, communication au top :)",ofCustomer,Transaction object (c9a2a47f-8ac1-4e26-8cde-66a9074c3b7e),POSITIVE
eb043f52-cc53-470c-af5f-ed95d372c19c,2021-11-15 13:45:58.712672+00:00,,public,5,"Très bon contact avec Aliénor, échanges fluides et faciles ! J’ai récupéré la robe toute propre très rapidement. Je la recommande les yeux fermés ! ",ofCustomer,Transaction object (2133d7a8-2de2-4101-be7c-358c1e415ce2),POSITIVE
016dc756-4f5e-44cb-a703-9bcce1c80ea7,2021-11-15 13:45:02.499398+00:00,,public,5,Bonne expérience de location avec Louise ! ,ofCustomer,Transaction object (0c822f33-d91c-4f0b-a1e7-08d726d8a116),POSITIVE
