id,end,start,state,listing
add94ca1-ed37-40c4-9d19-9e2afdc38a73,2021-07-25 12:00:00+00:00,2021-07-23 12:00:00+00:00,cancelled,Robe Armelle tropico T36 | 5f648148-cd08-48b8-b8b3-f69fb06b5432
adab6ebc-9703-49ce-8f1b-6f628f585f68,2021-07-11 12:00:00+00:00,2021-07-09 12:00:00+00:00,pending,Capeline avec broderie paon | 5f981a4c-c488-46e6-9edf-972c526d6b10
ada88037-61eb-43f7-83fe-76078e308501,2022-06-07 12:00:00+00:00,2022-05-24 12:00:00+00:00,accepted,"Robe Erell sezane, T.40 | 6a1528e2-17f7-4242-a9fa-275ae0fbaf5e"
ad95b8ff-57d9-4184-ad65-a2aa2685ae4f,2022-05-22 12:00:00+00:00,2022-05-18 12:00:00+00:00,cancelled,Veste dream dorée Maison Guillemette T.42 | 38ccb574-5b7b-4275-97ba-7b8ede369b02
ad35a5b8-92df-4251-87f3-be2d0a9765fd,2022-03-07 12:00:00+00:00,2022-03-04 12:00:00+00:00,accepted,robe Berthie T.34 | b3d288c2-c1df-4bfe-877f-7e9d0086f036
ad16360e-3cfb-4547-b1f2-ba8baae7a2e8,2021-08-08 12:00:00+00:00,2021-08-06 12:00:00+00:00,cancelled,Pochette dorée Petite Mendigote | 5ef20b99-4933-4b0f-b814-af225453208f
ace01d23-5e3d-41b1-ac20-435c25644d43,2022-02-13 12:00:00+00:00,2022-02-09 12:00:00+00:00,accepted,Robe midi bash PARI T0 super lumineuse! | 5f4ab02a-7562-4c7e-a776-4308b9da2fe5
ac7cc1cc-404b-4dec-bf73-8d49e3a7d0c8,2021-10-29 12:00:00+00:00,2021-10-28 12:00:00+00:00,accepted,robe noire claudie pierlot dentelle pois S | 5f60ee58-aee2-42dd-bdeb-381b87f4c5f0
ac41dee2-a00e-40fe-834d-28f724966b7c,2021-08-29 12:00:00+00:00,2021-08-04 12:00:00+00:00,cancelled,Robe rouge Danse Maison Guillemette | 5ef4c5cd-2382-4f57-88b0-d25a23fa4d69
abe152ba-2da4-4155-9863-aa82228afb36,2022-05-15 12:00:00+00:00,2022-05-13 12:00:00+00:00,accepted,"Veste Maison Guillemette sequins, T.S | fd19a3fb-0818-4989-8c38-4827228df4ae"
ab099219-1b7e-40db-86fa-c5cac41b2af5,2022-06-13 12:00:00+00:00,2022-06-09 12:00:00+00:00,accepted,Capeline avec fleurs stabilisées | 94200599-2ff2-4c9e-a4aa-f3e3b05bdf0a
aaf69b23-36c6-41fe-be2c-3d1028d9a18c,2022-05-25 12:00:00+00:00,2022-05-20 12:00:00+00:00,accepted,Robe Ricoeur Maje T.38 | 40ca2dbc-bbe3-4cb8-8407-4620b2f507b8
aaa332a3-1a72-40cd-9e67-52c933147be7,2022-05-01 12:00:00+00:00,2022-04-30 12:00:00+00:00,accepted,Capeline les petites mésanges | cd263ca0-310b-43e6-8304-328a9a7115fb
aa7d8900-1cb3-48d6-93a2-b92363b2ec28,2021-09-15 12:00:00+00:00,2021-09-02 12:00:00+00:00,cancelled,Robe Laureline Sézane T34 | 5f96acdc-f573-4b81-8027-c4a1b67f4a6d
aa7ac255-1a86-45b8-9d22-039ef8c8147c,2021-09-27 12:00:00+00:00,2021-09-24 12:00:00+00:00,cancelled,Chapeau noir noeud | 5cc8350d-4a97-4110-8214-e2c2f5ddc264
aa5e9881-9956-4080-b86f-546a7443bec9,2022-05-15 12:00:00+00:00,2022-04-29 12:00:00+00:00,accepted,"Pantalon en soie Vert Sezane, T.36 | f8c433b9-5cc0-4e19-bac2-ac6ac21cff16"
aa106230-e9ec-403b-8900-b40184d9e7c2,2021-10-03 12:00:00+00:00,2021-10-02 12:00:00+00:00,pending,Robe longue Zohoha T.U | 2b55032b-4e29-48d6-ae1c-c8914bf62985
